Ano (data);País;Região;Estado;Estado sigla;Município (Municípios);Município Estado;Latitude;Longitude;Espécie florestal;Área (ha)
31/12/2016;Brasil;Norte;Rondônia;RO;Santa Luzia D'Oeste;Santa Luzia D'Oeste (RO);-12,03;-61,7;Outras espécies;706
31/12/2014;Brasil;Norte;Rondônia;RO;Vilhena;Vilhena (RO);-12,09;-60,25;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Vilhena;Vilhena (RO);-12,09;-60,25;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Vilhena;Vilhena (RO);-12,09;-60,25;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Vilhena;Vilhena (RO);-12,09;-60,25;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Vilhena;Vilhena (RO);-12,09;-60,25;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Vilhena;Vilhena (RO);-12,09;-60,25;Pinus;4800
31/12/2014;Brasil;Norte;Rondônia;RO;Vilhena;Vilhena (RO);-12,09;-60,25;Outras espécies;104
31/12/2015;Brasil;Norte;Rondônia;RO;Vilhena;Vilhena (RO);-12,09;-60,25;Outras espécies;110
31/12/2016;Brasil;Norte;Rondônia;RO;Vilhena;Vilhena (RO);-12,09;-60,25;Outras espécies;150
31/12/2014;Brasil;Norte;Rondônia;RO;São Miguel do Guaporé;São Miguel do Guaporé (RO);-11,61;-62,98;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;São Miguel do Guaporé;São Miguel do Guaporé (RO);-11,61;-62,98;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;São Miguel do Guaporé;São Miguel do Guaporé (RO);-11,61;-62,98;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;São Miguel do Guaporé;São Miguel do Guaporé (RO);-11,61;-62,98;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;São Miguel do Guaporé;São Miguel do Guaporé (RO);-11,61;-62,98;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;São Miguel do Guaporé;São Miguel do Guaporé (RO);-11,61;-62,98;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;São Miguel do Guaporé;São Miguel do Guaporé (RO);-11,61;-62,98;Outras espécies;153
31/12/2015;Brasil;Norte;Rondônia;RO;São Miguel do Guaporé;São Miguel do Guaporé (RO);-11,61;-62,98;Outras espécies;153
31/12/2016;Brasil;Norte;Rondônia;RO;São Miguel do Guaporé;São Miguel do Guaporé (RO);-11,61;-62,98;Outras espécies;209
31/12/2014;Brasil;Norte;Rondônia;RO;Nova Mamoré;Nova Mamoré (RO);-10,38;-64,63;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Nova Mamoré;Nova Mamoré (RO);-10,38;-64,63;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Nova Mamoré;Nova Mamoré (RO);-10,38;-64,63;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Nova Mamoré;Nova Mamoré (RO);-10,38;-64,63;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Nova Mamoré;Nova Mamoré (RO);-10,38;-64,63;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Nova Mamoré;Nova Mamoré (RO);-10,38;-64,63;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Nova Mamoré;Nova Mamoré (RO);-10,38;-64,63;Outras espécies;15
31/12/2015;Brasil;Norte;Rondônia;RO;Nova Mamoré;Nova Mamoré (RO);-10,38;-64,63;Outras espécies;11
31/12/2016;Brasil;Norte;Rondônia;RO;Nova Mamoré;Nova Mamoré (RO);-10,38;-64,63;Outras espécies;15
31/12/2014;Brasil;Norte;Rondônia;RO;Alvorada D'Oeste;Alvorada D'Oeste (RO);-11,31;-62,54;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Alvorada D'Oeste;Alvorada D'Oeste (RO);-11,31;-62,54;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Alvorada D'Oeste;Alvorada D'Oeste (RO);-11,31;-62,54;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Alvorada D'Oeste;Alvorada D'Oeste (RO);-11,31;-62,54;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Alvorada D'Oeste;Alvorada D'Oeste (RO);-11,31;-62,54;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Alvorada D'Oeste;Alvorada D'Oeste (RO);-11,31;-62,54;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Alvorada D'Oeste;Alvorada D'Oeste (RO);-11,31;-62,54;Outras espécies;310
31/12/2015;Brasil;Norte;Rondônia;RO;Alvorada D'Oeste;Alvorada D'Oeste (RO);-11,31;-62,54;Outras espécies;299
31/12/2016;Brasil;Norte;Rondônia;RO;Alvorada D'Oeste;Alvorada D'Oeste (RO);-11,31;-62,54;Outras espécies;409
31/12/2014;Brasil;Norte;Rondônia;RO;Alto Alegre dos Parecis;Alto Alegre dos Parecis (RO);-12,59;-61,88;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Alto Alegre dos Parecis;Alto Alegre dos Parecis (RO);-12,59;-61,88;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Alto Alegre dos Parecis;Alto Alegre dos Parecis (RO);-12,59;-61,88;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Alto Alegre dos Parecis;Alto Alegre dos Parecis (RO);-12,59;-61,88;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Alto Alegre dos Parecis;Alto Alegre dos Parecis (RO);-12,59;-61,88;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Alto Alegre dos Parecis;Alto Alegre dos Parecis (RO);-12,59;-61,88;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Alto Alegre dos Parecis;Alto Alegre dos Parecis (RO);-12,59;-61,88;Outras espécies;8
